index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,0,0,0,0,0,0
1,11,0,0.02,0,0,0,0,0,0
2,12,0,0.03,0,0,0,0,0,0
3,13,0,0.04,0,0,0,0,0,0
4,14,0,0.05,0,0,0,0,0,0
5,15,0,0.06,0,0,0,0,0,0
6,16,0,0.07,0,0,0,0,0,0
7,17,0,0.08,0,0,0,0,0,0
8,18,0,0.09,0,0,0,0,0,0
9,19,0,0.1,0,0,0,0,0,0
10,20,0,0.11,0,0,0,0,0,0
11,21,0,0.12,0,0,0,0,0,0
12,22,0,0.13,0,0,0,0,0,0
13,23,0,0.14,0,0,0,0,0,0
14,24,0,0.15,0,0,0,0,0,0
15,25,0,0.16,0,0,0,0,0,0
16,26,0,0.17,0,0,0,0,0,0
17,27,0,0.18,0,0,0,0,0,0
18,28,0,0.19,0,0,0,0,0,0
19,29,0,0.2,0,0,0,0,0,0
20,30,0,0.21,0,0,0,0,0,0
21,31,0,0.22,0,0,0,0,0,0
22,32,0,0.23,0,0,0,0,0,0
23,33,0,0.24,0,0,0,0,0,0
24,34,0,0.25,0,0,0,0,0,0
25,35,0,0.26,0,0,0,0,0,0
26,36,0,0.27,0,0,0,0,0,0
27,37,0,0.28,0,0,0,0,0,0
28,38,0,0.29,0,0,0,0,0,0
29,39,0,0.3,0,0,0,0,0,0
30,40,0,0.31,0,0,0,0,0,0
31,41,0,0.32,0,0,0,0,0,0
32,42,0,0.33,0,0,0,0,0,0
33,43,0,0.34,0,0,0,0,0,0
34,44,0,0.35,0,0,0,0,0,0
35,45,0,0.36,0,0,0,0,0,0
36,46,0,0.37,0,0,0,0,0,0
37,47,0,0.38,0,0,0,0,0,0
38,48,0,0.39,0,0,0,0,0,0
39,49,0,0.4,0,0,0,0,0,0
40,50,0,0.41,0,0,0,0,0,0
41,51,0,0.42,0,0,0,0,0,0
42,52,0,0.43,0,0,0,0,0,0
43,53,0,0.44,0,0,0,0,0,0
44,54,0,0.45,0,0,0,0,0,0
45,55,0,0.46,0,0,0,0,0,0
46,56,0,0.47,0,0,0,0,0,0
47,57,0,0.48,0,0,0,0,0,0
48,58,0,0.49,0,0,0,0,0,0
49,59,0,0.5,0,0,0,0,0,0
50,60,0,0.51,0,0,0,0,0,0
51,61,0,0.52,0,0,0,0,0,0
52,62,0,0.53,0,0,0,0,0,0
53,63,0,0.54,0,0,0,0,0,0
54,64,0,0.55,0,0,0,0,0,0
55,65,0,0.56,0,0,0,0,0,0
56,66,0,0.57,0,0,0,0,0,0
57,67,0,0.58,0,0,0,0,0,0
58,68,0,0.59,0,0,0,0,0,0
59,69,0,0.6,0,0,0,0,0,0
60,70,0,0.61,0,0,0,0,0,0
61,71,0,0.62,0,0,0,0,0,0
62,72,0,0.63,0,0,0,0,0,0
63,73,0,0.64,0,0,0,0,0,0
64,74,0,0.65,0,0,0,0,0,0
65,75,0,0.66,0,0,0,0,0,0
66,76,0,0.67,0,0,0,0,0,0
67,77,0,0.68,0,0,0,0,0,0
68,78,0,0.69,0,0,0,0,0,0
69,79,0,0.7,0,0,0,0,0,0
70,80,0,0.71,0,0,0,0,0,0
71,81,0,0.72,0,0,0,0,0,0.0909091
72,82,0,0.73,0,0,0,0,0,0.163636
73,83,0,0.74,0,0,0,0,0,0.218182
74,84,0,0.75,0,0,0,0,0,0.254545
75,85,0,0.76,0,0,0,0,0,0.272727
76,86,0,0.77,0,0.0002,0,0.02,0,0.272727
77,87,0,0.78,0,0.0004,0,0.02,0,0.254545
78,88,0,0.79,1,0.0006,1,0.02,1,0.218182
79,89,0,0.8,1,0.0008,0,0.02,-1,0.254545
